period_month,chokepoint_id,outgoing_cp_flow,incoming_cp_flow,chokepoint_throughput,flow_imbalance
2021-02-01,CP020,159764,159764,159764.0,0
2021-02-01,CP022,1503230,1503230,1503230.0,0
2021-03-01,CP001,4226570,4226570,4226570.0,0
2021-03-01,CP002,2369870,2369870,2369870.0,0
2021-03-01,CP004,4226570,4226570,4226570.0,0
2021-03-01,CP005,2177787,2177787,2177787.0,0
2021-03-01,CP006,7167750,7167750,7167750.0,0
2021-03-01,CP007,937766,937766,937766.0,0
2021-03-01,CP008,5479234,5479234,5479234.0,0
2021-03-01,CP009,3796415,3796415,3796415.0,0
2021-03-01,CP010,791961,791961,791961.0,0
2021-03-01,CP011,1836276,1836276,1836276.0,0
2021-03-01,CP013,1196529,1196529,1196529.0,0
2021-03-01,CP014,210100,210100,210100.0,0
2021-03-01,CP015,1143363,1143363,1143363.0,0
2021-03-01,CP016,1665951,1665951,1665951.0,0
2021-03-01,CP017,174000,174000,174000.0,0
2021-03-01,CP019,614166,614166,614166.0,0
2021-03-01,CP020,1143363,1143363,1143363.0,0
2021-03-01,CP022,2210070,2210070,2210070.0,0
2021-03-01,CP024,180000,180000,180000.0,0
2021-04-01,CP001,1884443,1884443,1884443.0,0
2021-04-01,CP002,3048341,3048341,3048341.0,0
2021-04-01,CP004,1884443,1884443,1884443.0,0
2021-04-01,CP005,2895839,2895839,2895839.0,0
2021-04-01,CP006,5911104,5911104,5911104.0,0
2021-04-01,CP007,835000,835000,835000.0,0
2021-04-01,CP008,2808363,2808363,2808363.0,0
2021-04-01,CP009,3441872,3441872,3441872.0,0
2021-04-01,CP010,458907,458907,458907.0,0
2021-04-01,CP011,4565115,4565115,4565115.0,0
2021-04-01,CP013,1350400,1350400,1350400.0,0
2021-04-01,CP015,1440770,1440770,1440770.0,0
2021-04-01,CP016,1282396,1282396,1282396.0,0
2021-04-01,CP017,1452152,1452152,1452152.0,0
2021-04-01,CP018,167000,167000,167000.0,0
2021-04-01,CP019,694000,694000,694000.0,0
2021-04-01,CP020,1288288,1288288,1288288.0,0
2021-04-01,CP022,2706341,2706341,2706341.0,0
2021-05-01,CP001,3163364,3163364,3163364.0,0
2021-05-01,CP002,3723111,3723111,3723111.0,0
2021-05-01,CP004,3163364,3163364,3163364.0,0
2021-05-01,CP005,4304117,4304117,4304117.0,0
2021-05-01,CP006,8062164,8062164,8062164.0,0
2021-05-01,CP007,316758,316758,316758.0,0
2021-05-01,CP008,3681538,3681538,3681538.0,0
2021-05-01,CP009,2569446,2569446,2569446.0,0
2021-05-01,CP010,430849,430849,430849.0,0
2021-05-01,CP011,3839079,3839079,3839079.0,0
2021-05-01,CP013,1518290,1518290,1518290.0,0
2021-05-01,CP014,1061220,1061220,1061220.0,0
2021-05-01,CP015,1659282,1659282,1659282.0,0
2021-05-01,CP016,1043269,1043269,1043269.0,0
2021-05-01,CP017,341000,341000,341000.0,0
2021-05-01,CP019,149600,149600,149600.0,0
2021-05-01,CP020,1504282,1504282,1504282.0,0
2021-05-01,CP022,3723111,3723111,3723111.0,0
2021-05-01,CP024,160000,160000,160000.0,0
2021-06-01,CP001,2284135,2284135,2284135.0,0
2021-06-01,CP002,3218736,3218736,3218736.0,0
2021-06-01,CP004,2284135,2284135,2284135.0,0
2021-06-01,CP005,4720657,4720657,4720657.0,0
2021-06-01,CP006,6947134,6947134,6947134.0,0
2021-06-01,CP007,983626,983626,983626.0,0
2021-06-01,CP008,2621797,2621797,2621797.0,0
2021-06-01,CP009,1579229,1579229,1579229.0,0
2021-06-01,CP010,549080,549080,549080.0,0
2021-06-01,CP011,4026587,4026587,4026587.0,0
2021-06-01,CP012,173400,173400,173400.0,0
2021-06-01,CP013,1013208,1013208,1013208.0,0
2021-06-01,CP014,812200,812200,812200.0,0
2021-06-01,CP015,1150430,1150430,1150430.0,0
2021-06-01,CP016,1049069,1049069,1049069.0,0
2021-06-01,CP017,554135,554135,554135.0,0
2021-06-01,CP018,174000,174000,174000.0,0
2021-06-01,CP019,813626,813626,813626.0,0
2021-06-01,CP020,809430,809430,809430.0,0
2021-06-01,CP022,3044736,3044736,3044736.0,0
2021-06-01,CP023,174000,174000,174000.0,0
2021-06-01,CP024,174000,174000,174000.0,0
2021-07-01,CP001,3518944,3518944,3518944.0,0
2021-07-01,CP002,3247140,3247140,3247140.0,0
2021-07-01,CP004,3518944,3518944,3518944.0,0
2021-07-01,CP005,6352039,6352039,6352039.0,0
2021-07-01,CP006,6849968,6849968,6849968.0,0
2021-07-01,CP007,826100,826100,826100.0,0
2021-07-01,CP008,3726041,3726041,3726041.0,0
2021-07-01,CP009,1839790,1839790,1839790.0,0
2021-07-01,CP010,370100,370100,370100.0,0
2021-07-01,CP011,5050497,5050497,5050497.0,0
2021-07-01,CP013,1215082,1215082,1215082.0,0
2021-07-01,CP014,1955400,1955400,1955400.0,0
2021-07-01,CP015,1132830,1132830,1132830.0,0
2021-07-01,CP016,1510136,1510136,1510136.0,0
2021-07-01,CP017,952100,952100,952100.0,0
2021-07-01,CP018,167000,167000,167000.0,0
2021-07-01,CP019,148300,148300,148300.0,0
2021-07-01,CP020,1132830,1132830,1132830.0,0
2021-07-01,CP022,3245857,3245857,3245857.0,0
2021-07-01,CP023,174000,174000,174000.0,0
2021-07-01,CP024,180000,180000,180000.0,0
2021-08-01,CP001,2078995,2078995,2078995.0,0
2021-08-01,CP002,2728400,2728400,2728400.0,0
2021-08-01,CP004,2078995,2078995,2078995.0,0
2021-08-01,CP005,3989098,3989098,3989098.0,0
2021-08-01,CP006,4551791,4551791,4551791.0,0
2021-08-01,CP007,521673,521673,521673.0,0
2021-08-01,CP008,3038940,3038940,3038940.0,0
2021-08-01,CP009,955155,955155,955155.0,0
2021-08-01,CP010,262138,262138,262138.0,0
2021-08-01,CP011,4245090,4245090,4245090.0,0
2021-08-01,CP013,1020000,1020000,1020000.0,0
2021-08-01,CP014,1000991,1000991,1000991.0,0
2021-08-01,CP015,1468615,1468615,1468615.0,0
2021-08-01,CP016,1141973,1141973,1141973.0,0
2021-08-01,CP017,508400,508400,508400.0,0
2021-08-01,CP018,167000,167000,167000.0,0
2021-08-01,CP019,521673,521673,521673.0,0
2021-08-01,CP020,1468615,1468615,1468615.0,0
2021-08-01,CP022,2898400,2898400,2898400.0,0
2021-09-01,CP001,3516100,3516100,3516100.0,0
2021-09-01,CP002,1896708,1896708,1896708.0,0
2021-09-01,CP004,3516100,3516100,3516100.0,0
2021-09-01,CP005,5220415,5220415,5220415.0,0
2021-09-01,CP006,7434373,7434373,7434373.0,0
2021-09-01,CP007,632870,632870,632870.0,0
