from_node_id,to_node_id,lng_flow_cmb,flow_share,cumulative_flow_share
LNGN0180,CP016,630000,0.00016033157130870623,0.9864256786849162
CP008,LNGN0087,615675,0.00015668593677061542,0.9865823646216868
CP007,LNGN0108,598682,0.0001523613107527601,0.9867347259324396
CP001,LNGN0428,595120,0.00015145480113847184,0.986886180733578
CP010,LNGN0222,592783,0.00015086004735728381,0.9870370407809353
CP011,LNGN0293,585000,0.00014887931621522722,0.9871859200971506
LNGN0423,LNGN0195,528000,0.0001343731264301538,0.9873202932235807
LNGN0050,LNGN0248,527400,0.00013422042969557407,0.9874545136532763
LNGN0050,LNGN0178,526800,0.00013406773296099436,0.9875885813862373
LNGN0070,LNGN0076,525772,0.00013380611255574778,0.987722387498793
CP011,LNGN0175,525000,0.0001336096427572552,0.9878559971415503
LNGN0070,LNGN0248,525000,0.0001336096427572552,0.9879896067843075
LNGN0027,LNGN0076,522000,0.0001328461590843566,0.9881224529433918
CP002,LNGN0429,522000,0.0001328461590843566,0.9882552991024762
LNGN0101,LNGN0186,522000,0.0001328461590843566,0.9883881452615606
LNGN0261,LNGN0272,522000,0.0001328461590843566,0.988520991420645
LNGN0052,LNGN0037,522000,0.0001328461590843566,0.9886538375797294
LNGN0050,LNGN0045,521400,0.00013269346234977687,0.9887865310420791
CP008,LNGN0037,521400,0.00013269346234977687,0.9889192245044289
CP012,LNGN0253,520800,0.00013254076561519716,0.9890517652700441
LNGN0423,LNGN0463,520000,0.00013233716996909086,0.9891841024400132
LNGN0124,LNGN0244,514000,0.00013081020262329366,0.9893149126426365
LNGN0026,LNGN0294,513000,0.0001305557080656608,0.9894454683507021
LNGN0297,CP004,513000,0.0001305557080656608,0.9895760240587678
LNGN0050,LNGN0442,503900,0.0001282398075912017,0.989704263866359
CP001,LNGN0006,499148,0.00012703044945333033,0.9898312943158123
CP024,LNGN0109,494000,0.00012572031147063632,0.9899570146272829
LNGN0050,CP024,493800,0.00012566941255910975,0.990082684039842
LNGN0026,LNGN0428,491264,0.0001250240143609528,0.990207708054203
CP002,LNGN0004,486158,0.00012372456514967938,0.9903314326193526
LNGN0101,LNGN0428,485579,0.00012357721280080995,0.9904550098321534
CP007,LNGN0208,474964,0.00012087575307153707,0.9905758855852249
CP011,LNGN0156,464500,0.00011821272202046674,0.9906940983072454
LNGN0103,CP010,461276,0.00011739223156665838,0.9908114905388121
LNGN0378,LNGN0056,453000,0.00011528603460768877,0.9909267765734198
LNGN0166,LNGN0178,437028,0.00011122124753317661,0.9910379978209529
LNGN0166,LNGN0442,428130,0.00010895675495935937,0.9911469545759123
CP016,LNGN0174,417977,0.00010637287171571287,0.991253327447628
CP020,LNGN0190,414819,0.00010556917790270828,0.9913588966255307
LNGN0124,LNGN0248,360000,9.161804074783214e-05,0.9914505146662785
CP022,LNGN0109,354000,9.009107340203493e-05,0.9915406057396806
CP001,LNGN0098,350000,8.907309517150347e-05,0.9916296788348521
CP011,LNGN0163,350000,8.907309517150347e-05,0.9917187519300236
CP024,LNGN0031,348000,8.856410605623773e-05,0.9918073160360799
CP004,LNGN0391,348000,8.856410605623773e-05,0.9918958801421361
CP002,LNGN0174,348000,8.856410605623773e-05,0.9919844442481924
CP024,LNGN0148,348000,8.856410605623773e-05,0.9920730083542487
CP023,LNGN0272,347400,8.841140932165801e-05,0.9921614197635704
CP019,LNGN0268,347400,8.841140932165801e-05,0.9922498311728921
CP004,CP019,346800,8.825871258707829e-05,0.9923380898854792
CP022,LNGN0148,346717,8.823758953879476e-05,0.992426327475018
LNGN0142,LNGN0208,345400,8.790242020639228e-05,0.9925142298952244
CP024,CP009,344520,8.767846499567536e-05,0.9926019083602201
LNGN0103,CP024,344000,8.754612782570627e-05,0.9926894544880458
CP024,LNGN0258,344000,8.754612782570627e-05,0.9927770006158715
LNGN0322,LNGN0426,341000,8.678264415280766e-05,0.9928637832600243
LNGN0013,LNGN0442,340000,8.65281495951748e-05,0.9929503114096195
CP024,LNGN0287,340000,8.65281495951748e-05,0.9930368395592147
LNGN0309,LNGN0285,340000,8.65281495951748e-05,0.9931233677088099
LNGN0309,LNGN0230,340000,8.65281495951748e-05,0.9932098958584051
LNGN0050,LNGN0374,340000,8.65281495951748e-05,0.9932964240080003
CP019,LNGN0150,338000,8.601916047990906e-05,0.9933824431684802
CP022,LNGN0362,335000,8.525567680701046e-05,0.9934676988452873
LNGN0101,LNGN0121,334813,8.520808632473312e-05,0.993552906931612
LNGN0124,LNGN0045,334000,8.50011822493776e-05,0.9936379081138614
CP016,CP017,334000,8.50011822493776e-05,0.9937229092961108
LNGN0083,LNGN0098,333800,8.495028333785102e-05,0.9938078595794487
CP002,LNGN0290,333800,8.495028333785102e-05,0.9938928098627866
CP008,CP024,331062,8.425347723905223e-05,0.9939770633400257
CP024,CP002,331062,8.425347723905223e-05,0.9940613168172647
LNGN0322,LNGN0382,331000,8.423769857647899e-05,0.9941455545158412
LNGN0261,CP002,329274,8.379844097000467e-05,0.9942293529568111
CP001,LNGN0017,329000,8.372870946121326e-05,0.9943130816662723
CP019,LNGN0163,327000,8.321972034594753e-05,0.9943963013866183
CP008,LNGN0076,324800,8.265983231915522e-05,0.9944789612189374
LNGN0166,LNGN0374,319208,8.123669875287222e-05,0.9945601979176902
LNGN0166,LNGN0385,313894,7.988431467361117e-05,0.9946400822323639
LNGN0274,CP006,310000,7.889331286618879e-05,0.99471897554523
CP016,LNGN0382,309948,7.888007914919187e-05,0.9947978556243793
LNGN0083,LNGN0294,309000,7.863881830855591e-05,0.9948764944426879
CP016,LNGN0212,307430,7.823926185307231e-05,0.9949547337045409
