from_node_id,to_node_id,cumulative_edge_flow,mean_monthly_edge_flow,active_months,cumulative_voyage_traversals
LNGN0322,LNGN0460,1199900,171414.2857142857,7,7
CP002,CP024,1191040,238208.0,5,7
LNGN0083,LNGN0056,1189800,198300.0,6,7
CP022,LNGN0150,1181400,168771.42857142858,7,7
CP020,LNGN0163,1172409,167487.0,7,7
CP004,LNGN0251,1168062,166866.0,7,7
CP020,LNGN0354,1163988,193998.0,6,7
LNGN0261,LNGN0385,1161252,193542.0,6,7
CP013,LNGN0460,1160080,165725.7142857143,7,8
CP005,LNGN0150,1156880,165268.57142857142,7,7
CP002,CP013,1150373,191728.83333333334,6,7
LNGN0101,CP008,1150221,191703.5,6,7
LNGN0312,CP008,1128630,161232.85714285713,7,7
LNGN0085,LNGN0008,1110374,138796.75,8,8
CP006,LNGN0191,1106348,184391.33333333334,6,7
CP006,LNGN0079,1101253,157321.85714285713,7,8
CP011,LNGN0447,1093673,156239.0,7,7
LNGN0124,LNGN0442,1049400,174900.0,6,6
LNGN0274,LNGN0168,1041400,173566.66666666666,6,6
LNGN0124,LNGN0037,1041100,173516.66666666666,6,6
LNGN0070,LNGN0037,1040700,208140.0,5,6
LNGN0423,CP005,1040198,173366.33333333334,6,6
LNGN0423,LNGN0230,1040000,173333.33333333334,6,6
LNGN0027,LNGN0272,1036735,172789.16666666666,6,6
LNGN0274,LNGN0208,1035400,172566.66666666666,6,6
CP016,LNGN0181,1033400,172233.33333333334,6,6
LNGN0345,LNGN0076,1026835,256708.75,4,6
LNGN0322,LNGN0270,1022673,170445.5,6,6
CP024,LNGN0362,1006800,167800.0,6,6
CP022,LNGN0081,999234,199846.8,5,6
LNGN0027,LNGN0374,997100,166183.33333333334,6,6
LNGN0312,CP009,985315,164219.16666666666,6,6
CP004,LNGN0130,977946,162991.0,6,6
CP018,LNGN0195,955490,159248.33333333334,6,6
CP006,LNGN0108,907100,181420.0,5,6
LNGN0261,LNGN0248,886400,147733.33333333334,6,6
CP022,LNGN0319,865717,173143.4,5,5
LNGN0166,LNGN0464,864000,172800.0,5,5
LNGN0083,LNGN0035,861200,172240.0,5,5
LNGN0027,LNGN0385,858000,171600.0,5,5
LNGN0322,LNGN0314,857000,171400.0,5,5
LNGN0351,CP011,855000,213750.0,4,6
LNGN0050,LNGN0037,851474,170294.8,5,5
LNGN0103,LNGN0385,850000,170000.0,5,5
LNGN0083,LNGN0186,849000,212250.0,4,5
CP016,LNGN0314,847800,169560.0,5,5
LNGN0103,CP023,846000,169200.0,5,5
CP004,LNGN0208,844723,168944.6,5,5
CP008,LNGN0374,836920,167384.0,5,5
LNGN0378,LNGN0035,831200,83120.0,10,10
LNGN0312,LNGN0037,826313,165262.6,5,5
CP008,LNGN0178,826256,165251.2,5,5
LNGN0052,CP008,823000,164600.0,5,5
CP009,LNGN0442,821617,164323.4,5,5
CP020,LNGN0175,819948,163989.6,5,5
CP022,LNGN0272,816397,204099.25,4,5
LNGN0423,LNGN0285,813490,73953.63636363637,11,14
CP011,LNGN0195,810062,162012.4,5,5
LNGN0435,LNGN0044,799504,31980.16,25,40
CP016,LNGN0372,793097,198274.25,4,5
CP013,LNGN0270,720000,180000.0,4,5
CP016,LNGN0143,696000,174000.0,4,4
CP022,LNGN0307,696000,174000.0,4,4
CP022,LNGN0170,689082,172270.5,4,4
LNGN0322,CP017,689000,172250.0,4,4
CP010,LNGN0132,688907,98415.28571428571,7,7
CP016,CP011,688000,172000.0,4,4
LNGN0050,LNGN0076,687686,171921.5,4,4
CP023,CP002,686000,171500.0,4,4
CP002,CP023,683673,170918.25,4,4
CP022,LNGN0473,682000,170500.0,4,4
CP011,LNGN0354,681800,170450.0,4,4
LNGN0103,LNGN0100,681520,170380.0,4,4
LNGN0308,LNGN0182,680800,170200.0,4,4
LNGN0378,LNGN0331,679500,75500.0,9,9
LNGN0027,LNGN0055,678900,339450.0,2,4
CP013,LNGN0381,677540,169385.0,4,5
CP024,LNGN0385,674520,224840.0,3,4
LNGN0142,LNGN0168,670015,167503.75,4,4
CP007,LNGN0079,668600,167150.0,4,4
LNGN0083,LNGN0428,666548,222182.66666666666,3,4
LNGN0083,LNGN0121,658874,164718.5,4,4
CP022,LNGN0372,650000,162500.0,4,4
CP014,LNGN0382,649400,216466.66666666666,3,3
LNGN0180,CP016,630000,210000.0,3,4
LNGN0441,LNGN0405,620178,206726.0,3,4
CP008,LNGN0087,615675,153918.75,4,4
CP007,LNGN0108,598682,149670.5,4,4
CP001,LNGN0428,595120,148780.0,4,4
CP010,LNGN0222,592783,26944.68181818182,22,31
CP011,LNGN0293,585000,65000.0,9,13
LNGN0351,LNGN0156,540000,135000.0,4,4
LNGN0351,LNGN0181,540000,135000.0,4,4
LNGN0423,LNGN0195,528000,88000.0,6,6
LNGN0050,LNGN0248,527400,175800.0,3,3
LNGN0050,LNGN0178,526800,175600.0,3,3
LNGN0070,LNGN0076,525772,175257.33333333334,3,3
CP022,LNGN0175,525000,175000.0,3,3
LNGN0070,LNGN0248,525000,175000.0,3,3
LNGN0261,LNGN0272,522000,174000.0,3,3
LNGN0027,LNGN0076,522000,174000.0,3,3
LNGN0101,LNGN0186,522000,174000.0,3,3
LNGN0052,LNGN0037,522000,174000.0,3,3
LNGN0050,LNGN0045,521400,173800.0,3,3
CP008,LNGN0037,521400,173800.0,3,3
CP012,LNGN0253,520800,260400.0,2,3
LNGN0423,LNGN0463,520000,173333.33333333334,3,3
CP002,LNGN0437,516000,172000.0,3,3
LNGN0124,LNGN0244,514000,171333.33333333334,3,3
CP022,LNGN0059,513800,171266.66666666666,3,3
LNGN0026,LNGN0294,513000,171000.0,3,3
LNGN0297,CP004,513000,171000.0,3,3
CP002,CP011,511062,170354.0,3,3
LNGN0103,CP002,510000,170000.0,3,3
LNGN0050,LNGN0442,503900,167966.66666666666,3,3
LNGN0101,LNGN0136,502000,167333.33333333334,3,3
CP001,LNGN0006,499148,166382.66666666666,3,3
CP024,LNGN0109,494000,164666.66666666666,3,3
