period_month,active_edges,voyage_edge_traversals,total_edge_flow_exposure,unique_export_voyages,global_export_lng_volume,edge_flow_hhi,top_1_edge_flow_share,top_5_edge_flow_share,top_10_edge_flow_share,active_chokepoints,chokepoint_flow_hhi,top_1_chokepoint_flow_share,top_5_chokepoint_flow_share,mean_edge_traversals_per_voyage,voyages_vs_median,volume_vs_median,active_edges_vs_median,qa_low_voyages,qa_low_volume,qa_low_active_edges,qa_low_activity_watch
2021-12-01,133,371,65370078,150,24988095,0.024730089495751405,0.0950881074365553,0.27069715290839946,0.36612094909845455,20,0.08503805122281279,0.16061412833540145,0.5753426472394879,2.473333333333333,1.0452961672473868,1.055775408169743,0.9962546816479401,False,False,False,False
2022-01-01,130,350,61811020,149,24941809,0.02183613206137616,0.08903020852915872,0.23651463768111253,0.3382093678441158,22,0.07814025981176323,0.16029765323700582,0.5410799542197959,2.348993288590604,1.038327526132404,1.0538197720741325,0.9737827715355806,False,False,False,False
2022-02-01,116,290,49711705,126,20839538,0.018159844312610248,0.06945897349527641,0.20836153175595162,0.30367526118848664,21,0.08167253080660089,0.1553444187268659,0.5511144695166109,2.3015873015873014,0.8780487804878049,0.880494160840147,0.8689138576779026,False,False,False,False
2022-03-01,137,401,70573442,170,28304905,0.021588680462336668,0.09357833220037645,0.23223737620732743,0.343193449456525,21,0.09026865559550148,0.16684620525191113,0.5904936809144825,2.3588235294117648,1.1846689895470384,1.1959143996203312,1.0262172284644195,False,False,False,False
2022-04-01,134,424,76299978,169,28831590,0.03072668458605673,0.120838868393907,0.31293045720144247,0.4139291101761523,22,0.11230386755984144,0.22545667655703833,0.6462708613572469,2.5088757396449703,1.1777003484320558,1.2181674393519266,1.00374531835206,False,False,False,False
2022-05-01,143,425,76665643,166,28142410,0.023414944338700817,0.09616574923919963,0.255732205885236,0.37076052437204504,21,0.08704017269404962,0.180360158606909,0.5489943137135977,2.5602409638554215,1.156794425087108,1.1890488012243534,1.0711610486891385,False,False,False,False
2022-06-01,148,395,69363144,156,25938850,0.025451619275541404,0.10580209570661907,0.2786030575545999,0.3872313803999426,20,0.09147035801403126,0.19567148288006708,0.5636474826740994,2.532051282051282,1.0871080139372822,1.0959458872796721,1.1086142322097379,False,False,False,False
2022-07-01,147,451,81041673,158,27009602,0.02804669661856787,0.1093753703727217,0.3020526242097692,0.41740433961673024,21,0.0992745881476476,0.18835961331187917,0.6129375274177442,2.8544303797468356,1.1010452961672474,1.1411863759943408,1.101123595505618,False,False,False,False
2022-08-01,144,436,76899185,160,26649106,0.022878383855096582,0.09693383616484362,0.251299399336937,0.3665933000460278,20,0.08097191146610372,0.17517256042522839,0.5155338561756291,2.725,1.1149825783972125,1.1259550103562816,1.0786516853932584,False,False,False,False
2022-09-01,151,422,72522540,145,23732136,0.019559097938183237,0.07344928900725209,0.21859494992867046,0.3479681903033181,21,0.07332793520615374,0.1268168019268707,0.49592409605790516,2.910344827586207,1.0104529616724738,1.0027097132510443,1.1310861423220975,False,False,False,False
2022-10-01,156,472,82673592,171,28378578,0.022886003652048285,0.09192853263228239,0.2611899577316055,0.3763762314815111,22,0.08181243230492502,0.1535732544428481,0.5326605128050985,2.760233918128655,1.1916376306620209,1.1990271675862803,1.1685393258426966,False,False,False,False
2022-11-01,150,441,77808219,170,28700253,0.02566784159869556,0.10815800834613629,0.2741843506275346,0.37549285121151527,22,0.08924671959419911,0.17686706877658098,0.5888154072599954,2.5941176470588236,1.1846689895470384,1.2126183018613421,1.1235955056179776,False,False,False,False
2022-12-01,144,445,78672786,173,29069060,0.022245953638417054,0.082390548619951,0.25105347101855524,0.3600651437461488,20,0.08251475353152027,0.13892089477310635,0.5702684713644294,2.5722543352601157,1.2055749128919862,1.2282008166933394,1.0786516853932584,False,False,False,False
2023-01-01,145,446,78487043,169,28268092,0.028378716830037662,0.11562623145326038,0.29425946139925285,0.38052355979317504,21,0.09350424034651453,0.19180510162388698,0.6031705640366721,2.63905325443787,1.1777003484320558,1.1943590085390603,1.0861423220973783,False,False,False,False
2023-02-01,171,442,77513194,191,32137959,0.02250303171350594,0.10213934675430869,0.2569293428935466,0.3422882174097999,21,0.09192922865727632,0.18401550978193282,0.6006339140722908,2.3141361256544504,1.3310104529616724,1.3578652866882197,1.2808988764044944,False,False,False,False
2023-03-01,179,532,91732190,221,36087484,0.021378386150063843,0.09631672371497944,0.24746475582889715,0.34410355841281015,21,0.092864986750325,0.17645405476668347,0.5930134845172873,2.4072398190045248,1.5400696864111498,1.5247372058541906,1.3408239700374531,False,False,False,False
