metric,previous_month,current_month,spearman_rank_correlation
total_route_exposure,2021-08-01,2021-09-01,0.7838042768948162
total_route_exposure,2021-09-01,2021-10-01,0.871959985570652
total_route_exposure,2021-10-01,2021-11-01,0.8346371741437134
total_route_exposure,2021-11-01,2021-12-01,0.7980324593100245
total_route_exposure,2021-12-01,2022-01-01,0.7763727999679164
total_route_exposure,2022-01-01,2022-02-01,0.8189600946765232
total_route_exposure,2022-02-01,2022-03-01,0.8149676041732967
total_route_exposure,2022-03-01,2022-04-01,0.8464821443816489
total_route_exposure,2022-04-01,2022-05-01,0.8409917356918796
total_route_exposure,2022-05-01,2022-06-01,0.8242478667341916
total_route_exposure,2022-06-01,2022-07-01,0.8391415675047431
total_route_exposure,2022-07-01,2022-08-01,0.8392444045882945
total_route_exposure,2022-08-01,2022-09-01,0.8189299831232744
total_route_exposure,2022-09-01,2022-10-01,0.8292475649605928
total_route_exposure,2022-10-01,2022-11-01,0.8501029693454016
total_route_exposure,2022-11-01,2022-12-01,0.8274145892958151
total_route_exposure,2022-12-01,2023-01-01,0.8310402713880488
total_route_exposure,2023-01-01,2023-02-01,0.806859113625106
total_route_exposure,2023-02-01,2023-03-01,0.8062700654894125
total_route_exposure,2023-03-01,2023-04-01,0.7772504086692094
total_route_exposure,2023-04-01,2023-05-01,0.7486327937488164
total_route_exposure,2023-05-01,2023-06-01,0.8314558920947539
total_route_exposure,2023-06-01,2023-07-01,0.7601072802251359
total_route_exposure,2023-07-01,2023-08-01,0.7627418968785518
total_route_exposure,2023-08-01,2023-09-01,0.7971306888990584
total_route_exposure,2023-09-01,2023-10-01,0.8018451870993891
total_route_exposure,2023-10-01,2023-11-01,0.7976407560365729
total_route_exposure,2023-11-01,2023-12-01,0.7859095622254503
total_route_exposure,2023-12-01,2024-01-01,0.7842611172923292
total_route_exposure,2024-01-01,2024-02-01,0.7979112092458157
total_route_exposure,2024-02-01,2024-03-01,0.830044647042681
total_route_exposure,2024-03-01,2024-04-01,0.7963802422811619
total_route_exposure,2024-04-01,2024-05-01,0.6907084112876322
total_route_exposure,2024-05-01,2024-06-01,0.7149277698370363
total_route_exposure,2024-06-01,2024-07-01,0.6737295336762212
total_route_exposure,2024-07-01,2024-08-01,0.703016466000174
total_route_exposure,2024-08-01,2024-09-01,0.6930739733540409
total_route_exposure,2024-09-01,2024-10-01,0.7658011386539149
total_route_exposure,2024-10-01,2024-11-01,0.6853036463671529
total_route_exposure,2024-11-01,2024-12-01,0.7127480470194042
total_degree,2020-01-01,2020-02-01,0.8406174719789682
total_degree,2020-02-01,2020-03-01,0.8236090020652973
total_degree,2020-03-01,2020-04-01,0.7800056075725996
total_degree,2020-04-01,2020-05-01,0.7575896433096362
total_degree,2020-05-01,2020-06-01,0.7248019421358151
total_degree,2020-06-01,2020-07-01,0.6885608358360422
total_degree,2020-07-01,2020-08-01,0.7248315679021021
total_degree,2020-08-01,2020-09-01,0.7206170958391009
total_degree,2020-09-01,2020-10-01,0.8016146612295925
total_degree,2020-10-01,2020-11-01,0.7852279522371157
total_degree,2020-11-01,2020-12-01,0.7221848903377545
total_degree,2020-12-01,2021-01-01,0.753892133997022
total_degree,2021-01-01,2021-02-01,0.7206452191710149
total_degree,2021-02-01,2021-03-01,0.8070509493583234
total_degree,2021-03-01,2021-04-01,0.7956942320706784
total_degree,2021-04-01,2021-05-01,0.7870449271299105
total_degree,2021-05-01,2021-06-01,0.7654375875597008
total_degree,2021-06-01,2021-07-01,0.7985291618676214
total_degree,2021-07-01,2021-08-01,0.7716881943321756
total_degree,2021-08-01,2021-09-01,0.7739640921263233
total_degree,2021-09-01,2021-10-01,0.8618499229890932
total_degree,2021-10-01,2021-11-01,0.8030512617788873
total_degree,2021-11-01,2021-12-01,0.760548985069263
total_degree,2021-12-01,2022-01-01,0.7555174556240835
total_degree,2022-01-01,2022-02-01,0.8143628243723551
total_degree,2022-02-01,2022-03-01,0.8056870366991729
total_degree,2022-03-01,2022-04-01,0.8261222963792597
total_degree,2022-04-01,2022-05-01,0.8366021031828392
total_degree,2022-05-01,2022-06-01,0.8021404397163961
total_degree,2022-06-01,2022-07-01,0.8162429334773039
total_degree,2022-07-01,2022-08-01,0.8037750787710808
total_degree,2022-08-01,2022-09-01,0.7919172484637634
total_degree,2022-09-01,2022-10-01,0.8149452270295697
total_degree,2022-10-01,2022-11-01,0.8260130536477798
total_degree,2022-11-01,2022-12-01,0.7969179729395967
total_degree,2022-12-01,2023-01-01,0.7975417198467858
total_degree,2023-01-01,2023-02-01,0.804143738272605
total_degree,2023-02-01,2023-03-01,0.7816620906434663
total_degree,2023-03-01,2023-04-01,0.7375752503835143
total_degree,2023-04-01,2023-05-01,0.7153350110230638
total_degree,2023-05-01,2023-06-01,0.8134874719139831
total_degree,2023-06-01,2023-07-01,0.7190156367756136
total_degree,2023-07-01,2023-08-01,0.7499007452988481
total_degree,2023-08-01,2023-09-01,0.7349024716626967
total_degree,2023-09-01,2023-10-01,0.7818534766053384
total_degree,2023-10-01,2023-11-01,0.7597785812117128
total_degree,2023-11-01,2023-12-01,0.7672966400152461
total_degree,2023-12-01,2024-01-01,0.7570488999798529
