metric,previous_month,current_month,spearman_month_to_month
total_route_exposure,2024-07-01,2024-08-01,0.72435787572846
total_route_exposure,2024-08-01,2024-09-01,0.7141785606854705
total_route_exposure,2024-09-01,2024-10-01,0.7562986601495447
total_route_exposure,2024-10-01,2024-11-01,0.6814913957389829
total_route_exposure,2024-11-01,2024-12-01,0.707662893365459
total_degree,2020-01-01,2020-02-01,0.8442969641695557
total_degree,2020-02-01,2020-03-01,0.8261871387151882
total_degree,2020-03-01,2020-04-01,0.7855766943584134
total_degree,2020-04-01,2020-05-01,0.7639642872378813
total_degree,2020-05-01,2020-06-01,0.7325712110565451
total_degree,2020-06-01,2020-07-01,0.7006817101393444
total_degree,2020-07-01,2020-08-01,0.7371503038702778
total_degree,2020-08-01,2020-09-01,0.727901653109324
total_degree,2020-09-01,2020-10-01,0.8067213144638549
total_degree,2020-10-01,2020-11-01,0.7909823200443389
total_degree,2020-11-01,2020-12-01,0.7299677051074764
total_degree,2020-12-01,2021-01-01,0.762256649830976
total_degree,2021-01-01,2021-02-01,0.7284545339208703
total_degree,2021-02-01,2021-03-01,0.812694606956784
total_degree,2021-03-01,2021-04-01,0.7960252983487446
total_degree,2021-04-01,2021-05-01,0.7910080821789689
total_degree,2021-05-01,2021-06-01,0.778555578965828
total_degree,2021-06-01,2021-07-01,0.813402822318475
total_degree,2021-07-01,2021-08-01,0.7745392523435664
total_degree,2021-08-01,2021-09-01,0.7814912867699939
total_degree,2021-09-01,2021-10-01,0.8649952053848733
total_degree,2021-10-01,2021-11-01,0.8077113347596009
total_degree,2021-11-01,2021-12-01,0.7656390187445444
total_degree,2021-12-01,2022-01-01,0.7584081140580755
total_degree,2022-01-01,2022-02-01,0.8185639853427366
total_degree,2022-02-01,2022-03-01,0.8283471962316564
total_degree,2022-03-01,2022-04-01,0.8491335593050825
total_degree,2022-04-01,2022-05-01,0.839154393176847
total_degree,2022-05-01,2022-06-01,0.803961554300415
total_degree,2022-06-01,2022-07-01,0.8203297175735211
total_degree,2022-07-01,2022-08-01,0.8107571491672662
total_degree,2022-08-01,2022-09-01,0.8018662039974006
total_degree,2022-09-01,2022-10-01,0.8252426902261427
total_degree,2022-10-01,2022-11-01,0.8294695113107183
total_degree,2022-11-01,2022-12-01,0.8045917118229843
total_degree,2022-12-01,2023-01-01,0.7991607792942608
total_degree,2023-01-01,2023-02-01,0.8068617160744256
total_degree,2023-02-01,2023-03-01,0.7834383304824875
total_degree,2023-03-01,2023-04-01,0.754448988761108
total_degree,2023-04-01,2023-05-01,0.7351297214610577
total_degree,2023-05-01,2023-06-01,0.8114134879846091
total_degree,2023-06-01,2023-07-01,0.7242927844545838
total_degree,2023-07-01,2023-08-01,0.7633658149166813
total_degree,2023-08-01,2023-09-01,0.7428900638761883
total_degree,2023-09-01,2023-10-01,0.7900403774581877
total_degree,2023-10-01,2023-11-01,0.7655924957858284
total_degree,2023-11-01,2023-12-01,0.7739687844763482
total_degree,2023-12-01,2024-01-01,0.7558828958508872
total_degree,2024-01-01,2024-02-01,0.7498085718977627
total_degree,2024-02-01,2024-03-01,0.8046106562340974
total_degree,2024-03-01,2024-04-01,0.7759370503660951
total_degree,2024-04-01,2024-05-01,0.6988405773169313
total_degree,2024-05-01,2024-06-01,0.7237088115446427
total_degree,2024-06-01,2024-07-01,0.6524543419245188
total_degree,2024-07-01,2024-08-01,0.7294292712474051
total_degree,2024-08-01,2024-09-01,0.7296978109214388
total_degree,2024-09-01,2024-10-01,0.7651740028067571
total_degree,2024-10-01,2024-11-01,0.6703580537470093
total_degree,2024-11-01,2024-12-01,0.7012971799457582
total_strength,2020-01-01,2020-02-01,0.8593769962563775
total_strength,2020-02-01,2020-03-01,0.8339374087390561
total_strength,2020-03-01,2020-04-01,0.8052843283621212
total_strength,2020-04-01,2020-05-01,0.797837775138364
total_strength,2020-05-01,2020-06-01,0.7608465731733455
total_strength,2020-06-01,2020-07-01,0.7160996004913546
total_strength,2020-07-01,2020-08-01,0.7496741111890268
total_strength,2020-08-01,2020-09-01,0.7309394590003488
total_strength,2020-09-01,2020-10-01,0.8170862866386343
total_strength,2020-10-01,2020-11-01,0.8224018393940883
total_strength,2020-11-01,2020-12-01,0.7651186633892706
total_strength,2020-12-01,2021-01-01,0.7933557940629035
total_strength,2021-01-01,2021-02-01,0.735596377240807
total_strength,2021-02-01,2021-03-01,0.8169268669460413
total_strength,2021-03-01,2021-04-01,0.8383375149027861
total_strength,2021-04-01,2021-05-01,0.8313136828287537
total_strength,2021-05-01,2021-06-01,0.7976218149754384
total_strength,2021-06-01,2021-07-01,0.84316707026627
total_strength,2021-07-01,2021-08-01,0.8148319118354228
total_strength,2021-08-01,2021-09-01,0.8044422159127125
total_strength,2021-09-01,2021-10-01,0.890422037272387
total_strength,2021-10-01,2021-11-01,0.851989002774047
total_strength,2021-11-01,2021-12-01,0.8075445353830092
total_strength,2021-12-01,2022-01-01,0.7991790092670579
total_strength,2022-01-01,2022-02-01,0.8288056155339414
total_strength,2022-02-01,2022-03-01,0.8422292729511406
total_strength,2022-03-01,2022-04-01,0.8657355772341052
total_strength,2022-04-01,2022-05-01,0.861003148079794
total_strength,2022-05-01,2022-06-01,0.851040125756621
total_strength,2022-06-01,2022-07-01,0.8417187941004387
total_strength,2022-07-01,2022-08-01,0.8340391914743599
total_strength,2022-08-01,2022-09-01,0.8335530114050133
total_strength,2022-09-01,2022-10-01,0.852259110319621
total_strength,2022-10-01,2022-11-01,0.8653293207114242
total_strength,2022-11-01,2022-12-01,0.8528778107124039
total_strength,2022-12-01,2023-01-01,0.8586563119805806
total_strength,2023-01-01,2023-02-01,0.8238497692242608
total_strength,2023-02-01,2023-03-01,0.8210970983493163
total_strength,2023-03-01,2023-04-01,0.8094512876451503
total_strength,2023-04-01,2023-05-01,0.7973290551283245
total_strength,2023-05-01,2023-06-01,0.8496354044981864
total_strength,2023-06-01,2023-07-01,0.7665994689585656
total_strength,2023-07-01,2023-08-01,0.7833627694140376
total_strength,2023-08-01,2023-09-01,0.7986434113743841
total_strength,2023-09-01,2023-10-01,0.8124440905663712
total_strength,2023-10-01,2023-11-01,0.8110846911987029
total_strength,2023-11-01,2023-12-01,0.8235325100188355
total_strength,2023-12-01,2024-01-01,0.8083784671627221
total_strength,2024-01-01,2024-02-01,0.7985890721300508
total_strength,2024-02-01,2024-03-01,0.8315329606937389
total_strength,2024-03-01,2024-04-01,0.8221819197624043
total_strength,2024-04-01,2024-05-01,0.7296170523178614
total_strength,2024-05-01,2024-06-01,0.7338567995561645
total_strength,2024-06-01,2024-07-01,0.6926669338166499
total_strength,2024-07-01,2024-08-01,0.7414160105864565
total_strength,2024-08-01,2024-09-01,0.7029461303117709
total_strength,2024-09-01,2024-10-01,0.7608822469109006
total_strength,2024-10-01,2024-11-01,0.6817201174133463
total_strength,2024-11-01,2024-12-01,0.7311841284435942
betweenness,2020-01-01,2020-02-01,0.975114668534728
betweenness,2020-02-01,2020-03-01,0.9775546042814353
betweenness,2020-03-01,2020-04-01,0.9768571957284939
betweenness,2020-04-01,2020-05-01,0.9997289687943429
betweenness,2020-05-01,2020-06-01,0.9753237842371453
betweenness,2020-06-01,2020-07-01,0.8997212879072484
betweenness,2020-07-01,2020-08-01,0.9086563178737861
betweenness,2020-08-01,2020-09-01,0.9310683631324549
betweenness,2020-09-01,2020-10-01,0.998826601704616
betweenness,2020-10-01,2020-11-01,0.9775939471341544
betweenness,2020-11-01,2020-12-01,0.9559774642726273
betweenness,2020-12-01,2021-01-01,0.9539396800160951
betweenness,2021-01-01,2021-02-01,0.9718576984038674
betweenness,2021-02-01,2021-03-01,0.97792938500687
betweenness,2021-03-01,2021-04-01,0.9309989864404264
betweenness,2021-04-01,2021-05-01,0.9328261004123087
betweenness,2021-05-01,2021-06-01,0.9587546748642926
betweenness,2021-06-01,2021-07-01,0.9987468477380587
betweenness,2021-07-01,2021-08-01,0.9579596489930291
betweenness,2021-08-01,2021-09-01,0.9546460160112753
betweenness,2021-09-01,2021-10-01,0.9780900203468449
betweenness,2021-10-01,2021-11-01,0.9779216544141629
betweenness,2021-11-01,2021-12-01,0.9765346499118878
betweenness,2021-12-01,2022-01-01,0.9556935180949225
betweenness,2022-01-01,2022-02-01,0.9763644121989038
betweenness,2022-02-01,2022-03-01,0.9536506046170757
betweenness,2022-03-01,2022-04-01,0.9790448592952513
betweenness,2022-04-01,2022-05-01,0.9792946681951981
betweenness,2022-05-01,2022-06-01,0.9773022603475041
betweenness,2022-06-01,2022-07-01,0.9525554893039004
betweenness,2022-07-01,2022-08-01,0.9528695646628551
betweenness,2022-08-01,2022-09-01,0.954143476411321
betweenness,2022-09-01,2022-10-01,0.9578778203388404
betweenness,2022-10-01,2022-11-01,0.9592437898439218
betweenness,2022-11-01,2022-12-01,0.9577310795795226
betweenness,2022-12-01,2023-01-01,0.9781228510288534
betweenness,2023-01-01,2023-02-01,0.9991068170482864
betweenness,2023-02-01,2023-03-01,0.931053807415756
betweenness,2023-03-01,2023-04-01,0.9520247433199416
betweenness,2023-04-01,2023-05-01,0.9296604247236665
betweenness,2023-05-01,2023-06-01,0.9738432595229799
betweenness,2023-06-01,2023-07-01,0.9142191275800158
betweenness,2023-07-01,2023-08-01,0.9789791015505965
betweenness,2023-08-01,2023-09-01,0.9113472578520565
betweenness,2023-09-01,2023-10-01,0.930116061130468
betweenness,2023-10-01,2023-11-01,0.9582293858847839
betweenness,2023-11-01,2023-12-01,0.9790973371958315
betweenness,2023-12-01,2024-01-01,0.928213107602038
betweenness,2024-01-01,2024-02-01,0.9251408229658911
betweenness,2024-02-01,2024-03-01,0.9554419314011632
betweenness,2024-03-01,2024-04-01,0.92756204022985
betweenness,2024-04-01,2024-05-01,0.8995008282340814
betweenness,2024-05-01,2024-06-01,0.9223560367683465
betweenness,2024-06-01,2024-07-01,0.818399969679513
betweenness,2024-07-01,2024-08-01,0.9569957211845839
betweenness,2024-08-01,2024-09-01,0.9274940912895903
betweenness,2024-09-01,2024-10-01,0.9115052466491118
betweenness,2024-10-01,2024-11-01,0.8603392438303952
betweenness,2024-11-01,2024-12-01,0.8940201557255887
pagerank,2020-01-01,2020-02-01,0.8069207827196421
pagerank,2020-02-01,2020-03-01,0.7710955405734107
pagerank,2020-03-01,2020-04-01,0.7530435062467313
pagerank,2020-04-01,2020-05-01,0.7349309045825587
pagerank,2020-05-01,2020-06-01,0.6834681596395705
pagerank,2020-06-01,2020-07-01,0.6518027861564064
pagerank,2020-07-01,2020-08-01,0.7084370861777664
pagerank,2020-08-01,2020-09-01,0.6536091044204831
pagerank,2020-09-01,2020-10-01,0.7956321615005257
pagerank,2020-10-01,2020-11-01,0.7494034132223278
pagerank,2020-11-01,2020-12-01,0.6703307799721246
pagerank,2020-12-01,2021-01-01,0.6866334483179137
pagerank,2021-01-01,2021-02-01,0.6291928325633929
pagerank,2021-02-01,2021-03-01,0.76162896057331
pagerank,2021-03-01,2021-04-01,0.7689284759096601
pagerank,2021-04-01,2021-05-01,0.7691810055869246
pagerank,2021-05-01,2021-06-01,0.7578556470079552
pagerank,2021-06-01,2021-07-01,0.7748882053784747
pagerank,2021-07-01,2021-08-01,0.7374215138706353
pagerank,2021-08-01,2021-09-01,0.735397805196404
pagerank,2021-09-01,2021-10-01,0.8492869718674921
pagerank,2021-10-01,2021-11-01,0.7694130842911641
pagerank,2021-11-01,2021-12-01,0.7140453616459389
pagerank,2021-12-01,2022-01-01,0.6984286996675919
pagerank,2022-01-01,2022-02-01,0.7567142319004974
pagerank,2022-02-01,2022-03-01,0.781664920292241
pagerank,2022-03-01,2022-04-01,0.7890023758911295
pagerank,2022-04-01,2022-05-01,0.815001414130158
pagerank,2022-05-01,2022-06-01,0.781869627475565
pagerank,2022-06-01,2022-07-01,0.7648812524606087
pagerank,2022-07-01,2022-08-01,0.7526535065558528
pagerank,2022-08-01,2022-09-01,0.7636989123846666
pagerank,2022-09-01,2022-10-01,0.7539643399666226
pagerank,2022-10-01,2022-11-01,0.7615573898745126
pagerank,2022-11-01,2022-12-01,0.770128936244191
pagerank,2022-12-01,2023-01-01,0.7984910385198917
pagerank,2023-01-01,2023-02-01,0.7133329757602882
pagerank,2023-02-01,2023-03-01,0.7304417733550014
pagerank,2023-03-01,2023-04-01,0.6913394531436141
pagerank,2023-04-01,2023-05-01,0.7055938139423997
pagerank,2023-05-01,2023-06-01,0.8094895081627238
pagerank,2023-06-01,2023-07-01,0.678090172329809
pagerank,2023-07-01,2023-08-01,0.6964390930898834
pagerank,2023-08-01,2023-09-01,0.6971941550261597
pagerank,2023-09-01,2023-10-01,0.726040499086039
pagerank,2023-10-01,2023-11-01,0.7296798613968069
pagerank,2023-11-01,2023-12-01,0.6928460814493663
