node_id,node_type,metric,months,active_months,mean,std,coefficient_of_variation,min,max,lag1_autocorrelation,mean_absolute_monthly_change,mean_rank,median_rank,best_rank,worst_rank,rank_std,mean_percentile_rank,top_5pct_months,top_10pct_months,top_20pct_months,months_observed,top_5pct_share,top_10pct_share,top_20pct_share
CP007,chokepoint,total_route_exposure,60,59,3.7666666666666666,2.10219148498609,0.5581039340671036,0.0,10.0,0.36869367178464163,1.9322033898305084,31.433333333333334,29.0,10.0,84.0,14.483616304049821,0.8022281639928699,2,14,42,60,0.03333333333333333,0.23333333333333334,0.7
CP007,chokepoint,total_voyages,60,59,4.266666666666667,2.356862800395264,0.55238971884264,0.0,11.0,0.3469357148834558,2.0677966101694913,35.63333333333333,33.0,13.0,84.0,13.732266427758304,0.782843137254902,0,7,37,60,0.0,0.11666666666666667,0.6166666666666667
CP008,chokepoint,betweenness,60,60,0.03600969191899413,0.01590109090187151,0.44157808785595637,0.005263157894736842,0.09456740442655935,0.3965148752671657,0.011620355995001204,2.0166666666666666,1.0,1.0,14.0,2.087019338078621,0.9945632798573975,59,60,60,60,0.9833333333333333,1.0,1.0
CP008,chokepoint,node_throughput,60,60,3929559.75,1376830.8621973896,0.3503778921283458,961572.0,7419796.0,0.5558151502269487,1027383.5423728813,5.3,5.0,1.0,17.0,2.6251715036791046,0.9770053475935828,58,60,60,60,0.9666666666666667,1.0,1.0
CP008,chokepoint,pagerank,60,60,0.026335961504029427,0.005882114352602192,0.22334913998496783,0.010896638913244964,0.03878627665322253,0.5285589107077033,0.004471447380386178,4.033333333333333,2.0,1.0,39.0,6.425496529430042,0.9837789661319073,57,57,59,60,0.95,0.95,0.9833333333333333
CP008,chokepoint,share_monthly_network_flow,60,60,0.043809875126524206,0.00994104373297799,0.22691330902605777,0.017242116961834746,0.06866921283436961,0.3478993371252372,0.009217209244796897,5.3,5.0,1.0,17.0,2.6251715036791046,0.9770053475935828,58,60,60,60,0.9666666666666667,1.0,1.0
CP008,chokepoint,total_degree,60,60,15.6,4.283195385674626,0.2745638067740145,7.0,25.0,0.6710560186716573,2.5254237288135593,1.4666666666666666,1.0,1.0,5.0,0.812334294271587,0.9970588235294117,60,60,60,60,1.0,1.0,1.0
CP008,chokepoint,total_route_exposure,60,60,16.966666666666665,5.8742952456246496,0.3462256529837711,6.0,27.0,0.6814066665476206,3.610169491525424,3.5833333333333335,3.0,1.0,11.0,2.38136598506031,0.9844028520499108,59,60,60,60,0.9833333333333333,1.0,1.0
CP008,chokepoint,total_voyages,60,60,21.766666666666666,7.511272131906021,0.34508141494208366,6.0,39.0,0.5906088814857761,5.47457627118644,4.75,4.0,1.0,14.0,2.2671194296892647,0.9786541889483066,58,60,60,60,0.9666666666666667,1.0,1.0
CP009,chokepoint,betweenness,60,60,0.017129452242079995,0.009461495925169178,0.5523525090852693,0.0004868549172346641,0.05010060362173038,0.3591471852909382,0.006629013113202041,7.016666666666667,6.0,2.0,21.0,3.743883901333836,0.9677807486631017,55,59,60,60,0.9166666666666666,0.9833333333333333,1.0
CP009,chokepoint,node_throughput,60,60,3652243.4166666665,1875439.598644915,0.5135034510806493,520400.0,7249775.0,0.859951060377064,755400.5084745763,7.366666666666666,5.5,2.0,31.0,5.775361656198424,0.9659536541889484,51,56,60,60,0.85,0.9333333333333333,1.0
CP009,chokepoint,pagerank,60,60,0.020643764946044477,0.006078211320021608,0.2944332749335167,0.008431865886012824,0.034591359502493965,0.5213919354557813,0.004685698125863121,10.366666666666667,7.0,1.0,56.0,10.931166245201197,0.9499108734402851,41,49,58,60,0.6833333333333333,0.8166666666666667,0.9666666666666667
CP009,chokepoint,share_monthly_network_flow,60,60,0.038801697612264194,0.013037348540996896,0.3359994367070201,0.008960323844423846,0.06098910279124226,0.6570871604193718,0.007983141320075316,7.366666666666666,5.5,2.0,31.0,5.775361656198424,0.9659536541889484,51,56,60,60,0.85,0.9333333333333333,1.0
CP009,chokepoint,total_degree,60,60,12.55,3.6379590105870987,0.289877211998972,4.0,19.0,0.7413076209078144,2.0847457627118646,2.8333333333333335,2.0,1.0,17.0,2.4017413644938754,0.9889483065953654,59,60,60,60,0.9833333333333333,1.0,1.0
CP009,chokepoint,total_route_exposure,60,60,12.816666666666666,6.179494978725236,0.48214525191614327,2.0,24.0,0.8099075411300471,3.1016949152542375,7.95,5.5,2.0,41.0,6.99012620821539,0.9583778966131907,47,56,59,60,0.7833333333333333,0.9333333333333333,0.9833333333333333
CP009,chokepoint,total_voyages,60,60,20.916666666666668,10.867915251827462,0.519581605665058,3.0,43.0,0.8635632251914297,4.305084745762712,6.85,5.0,1.0,31.0,6.052944373874614,0.9663992869875223,51,56,60,60,0.85,0.9333333333333333,1.0
CP010,chokepoint,betweenness,60,59,0.006453689453615961,0.0048549544042321025,0.7522758011716697,0.0,0.020925553319919517,0.4590388791616259,0.0034437512476581567,13.533333333333333,13.0,7.0,21.0,4.147560715288643,0.9250891265597149,15,52,60,60,0.25,0.8666666666666667,1.0
