node_id,node_type,metric,months,active_months,mean,std,coefficient_of_variation,min,max,lag1_autocorrelation,mean_absolute_monthly_change
LNGN0334,terminal,share_monthly_network_flow,60,21,9.866046795446022e-05,0.00015102023906815858,1.5307066974167063,0.0,0.0005605027574788343,0.20095360840540236,0.00011046136313595806
LNGN0344,terminal,node_throughput,60,1,2900.0,22463.30340800302,7.745966692414834,0.0,174000.0,-0.01724137931034484,5898.3050847457625
LNGN0344,terminal,total_voyages,60,1,0.016666666666666666,0.12909944487358055,7.745966692414833,0.0,1.0,-0.017241379310344834,0.03389830508474576
LNGN0344,terminal,total_route_exposure,60,1,0.016666666666666666,0.12909944487358055,7.745966692414833,0.0,1.0,-0.017241379310344834,0.03389830508474576
LNGN0344,terminal,total_degree,60,1,0.016666666666666666,0.12909944487358055,7.745966692414833,0.0,1.0,-0.017241379310344834,0.03389830508474576
LNGN0344,terminal,total_strength,60,1,2900.0,22463.30340800302,7.745966692414834,0.0,174000.0,-0.01724137931034484,5898.3050847457625
LNGN0344,terminal,betweenness,60,1,0.0,0.0,,0.0,0.0,,0.0
LNGN0344,terminal,pagerank,60,1,0.00012956918344002373,0.0010036385792898115,7.745966692414834,0.0,0.0077741510064014245,-0.017241379310344838,0.0002635305425898788
LNGN0344,terminal,eigenvector,60,1,2.0491487713184014e-06,1.587263813043512e-05,7.745966692414835,0.0,0.0001229489262791041,-0.01724137931034483,4.167760212850986e-06
LNGN0344,terminal,share_monthly_network_flow,60,1,4.5611197756658855e-05,0.00035330281862422564,7.745966692414833,0.0,0.002736671865399531,-0.01724137931034485,9.276853781015359e-05
LNGN0345,terminal,node_throughput,60,60,2321336.5833333335,930487.0367720645,0.40084106865533803,346000.0,4604095.0,0.7146184564780664,551645.8305084746
LNGN0345,terminal,total_voyages,60,60,13.733333333333333,5.4364328617106095,0.3958567617750444,2.0,27.0,0.7039150043761898,3.2542372881355934
LNGN0345,terminal,total_route_exposure,60,60,10.6,3.3809034997432668,0.31895316035313837,2.0,18.0,0.5549350270271951,2.5254237288135593
LNGN0345,terminal,total_degree,60,60,5.266666666666667,1.6556699362654104,0.314367709417483,1.0,10.0,0.6439762862587337,1.152542372881356
LNGN0345,terminal,total_strength,60,60,2321336.5833333335,930487.0367720645,0.40084106865533803,346000.0,4604095.0,0.7146184564780664,551645.8305084746
LNGN0345,terminal,betweenness,60,60,0.0,0.0,,0.0,0.0,,0.0
LNGN0345,terminal,pagerank,60,60,0.006493497492305674,0.0008030548975427624,0.12367062565194252,0.005016179603073961,0.008097491084857909,0.8356710554864943,0.00035882410510828074
LNGN0345,terminal,eigenvector,60,60,0.009675879947938669,0.03621866496674291,3.743190816919847,0.0,0.2069658044964468,-0.06036210433306264,0.017163949227774495
LNGN0345,terminal,share_monthly_network_flow,60,60,0.02663743452218076,0.00831668764101407,0.3122180416469475,0.00668563428776624,0.04769016311346201,0.5866081092743644,0.005856313184576437
LNGN0347,terminal,node_throughput,60,48,298138.4166666667,258549.72598501266,0.8672137219876762,0.0,1146343.0,0.23218660675210379,215962.16949152542
LNGN0347,terminal,total_voyages,60,48,1.9666666666666666,1.707080634822301,0.8680071024520175,0.0,9.0,0.2142857142857143,1.3898305084745763
LNGN0347,terminal,total_route_exposure,60,48,1.65,1.3381621598676652,0.8110073696167668,0.0,6.0,0.15436573311367374,1.152542372881356
LNGN0347,terminal,total_degree,60,48,1.1833333333333333,0.7917298517752697,0.6690674803734673,0.0,3.0,0.24070543374642492,0.711864406779661
LNGN0347,terminal,total_strength,60,48,298138.4166666667,258549.72598501266,0.8672137219876762,0.0,1146343.0,0.23218660675210379,215962.16949152542
LNGN0347,terminal,betweenness,60,48,0.0,0.0,,0.0,0.0,,0.0
LNGN0347,terminal,pagerank,60,48,0.007016886296646781,0.003898071258238809,0.5555272087138726,0.0,0.016011943440208353,0.12509364190476094,0.0031722065479776063
