node_id,node_type,metric,mean_rank,median_rank,best_rank,worst_rank,rank_std,mean_percentile_rank,top_5pct_months,top_10pct_months,top_20pct_months,months_observed,top_5pct_share,top_10pct_share,top_20pct_share
LNGN0372,terminal,eigenvector,77.23333333333333,87.5,1.0,127.0,35.792417844303884,0.3831550802139037,7,7,9,60,0.11666666666666667,0.11666666666666667,0.15
LNGN0372,terminal,node_throughput,91.6,89.5,51.0,127.0,18.19033082693166,0.3403297682709448,0,0,0,60,0.0,0.0,0.0
LNGN0372,terminal,pagerank,85.25,88.5,22.0,127.0,25.287918331869903,0.3748663101604278,0,0,2,60,0.0,0.0,0.03333333333333333
LNGN0372,terminal,share_monthly_network_flow,91.6,89.5,51.0,127.0,18.19033082693166,0.3403297682709448,0,0,0,60,0.0,0.0,0.0
LNGN0372,terminal,total_degree,85.86666666666666,88.5,37.0,127.0,24.19655856372314,0.3429590017825312,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0372,terminal,total_route_exposure,87.91666666666667,88.5,47.0,127.0,21.462850574941346,0.3372103386809269,0,0,0,60,0.0,0.0,0.0
LNGN0372,terminal,total_strength,91.75,90.5,53.0,127.0,18.00906080800554,0.339572192513369,0,0,0,60,0.0,0.0,0.0
LNGN0372,terminal,total_voyages,89.56666666666666,88.5,47.0,127.0,19.682536927108917,0.3338680926916221,0,0,0,60,0.0,0.0,0.0
LNGN0374,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0374,terminal,eigenvector,59.81666666666667,65.5,1.0,103.0,27.14898734988643,0.618939393939394,7,7,10,60,0.11666666666666667,0.11666666666666667,0.16666666666666666
LNGN0374,terminal,node_throughput,46.71666666666667,45.0,14.0,110.0,19.711557021858738,0.7463458110516934,0,3,24,60,0.0,0.05,0.4
LNGN0374,terminal,pagerank,55.63333333333333,55.5,20.0,95.0,14.85861807414964,0.6992869875222816,0,0,7,60,0.0,0.0,0.11666666666666667
LNGN0374,terminal,share_monthly_network_flow,46.71666666666667,45.0,14.0,110.0,19.711557021858738,0.7463458110516934,0,3,24,60,0.0,0.05,0.4
LNGN0374,terminal,total_degree,33.35,28.5,10.0,95.0,16.758327047283952,0.7685383244206773,1,8,42,60,0.016666666666666666,0.13333333333333333,0.7
LNGN0374,terminal,total_route_exposure,42.516666666666666,37.0,10.0,95.0,16.622928484849755,0.7233511586452762,1,2,31,60,0.016666666666666666,0.03333333333333333,0.5166666666666667
LNGN0374,terminal,total_strength,48.916666666666664,47.0,19.0,110.0,18.59222697674494,0.7345811051693405,0,1,21,60,0.0,0.016666666666666666,0.35
LNGN0374,terminal,total_voyages,40.983333333333334,40.5,12.0,95.0,17.414674959780392,0.7473262032085561,0,4,27,60,0.0,0.06666666666666667,0.45
LNGN0378,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0378,terminal,eigenvector,70.23333333333333,77.0,1.0,104.0,27.72954531931274,0.510873440285205,7,7,7,60,0.11666666666666667,0.11666666666666667,0.11666666666666667
LNGN0378,terminal,node_throughput,71.66666666666667,70.5,35.0,109.0,14.475773644226066,0.5581996434937612,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0378,terminal,pagerank,80.08333333333333,78.0,66.0,99.0,8.839993225449252,0.468716577540107,0,0,0,60,0.0,0.0,0.0
LNGN0378,terminal,share_monthly_network_flow,71.66666666666667,70.5,35.0,109.0,14.475773644226066,0.5581996434937612,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0378,terminal,total_degree,45.516666666666666,36.0,17.0,99.0,24.18186157802023,0.6536096256684493,0,2,33,60,0.0,0.03333333333333333,0.55
LNGN0378,terminal,total_route_exposure,53.63333333333333,49.0,27.0,99.0,20.08031894765489,0.6147058823529412,0,0,11,60,0.0,0.0,0.18333333333333332
LNGN0378,terminal,total_strength,72.56666666666666,71.5,38.0,109.0,13.91544278931141,0.5533868092691622,0,0,1,60,0.0,0.0,0.016666666666666666
LNGN0378,terminal,total_voyages,50.18333333333333,45.5,19.0,99.0,22.612049934932635,0.6497326203208557,0,2,23,60,0.0,0.03333333333333333,0.38333333333333336
LNGN0381,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0381,terminal,eigenvector,48.96666666666667,47.5,1.0,120.0,27.05234515769517,0.6776737967914439,7,8,20,60,0.11666666666666667,0.13333333333333333,0.3333333333333333
LNGN0381,terminal,node_throughput,42.766666666666666,41.0,15.0,122.0,19.43643849173346,0.7681372549019607,0,3,26,60,0.0,0.05,0.43333333333333335
LNGN0381,terminal,pagerank,24.666666666666668,18.0,5.0,122.0,19.47677162078874,0.8659982174688057,8,32,52,60,0.13333333333333333,0.5333333333333333,0.8666666666666667
LNGN0381,terminal,share_monthly_network_flow,42.766666666666666,41.0,15.0,122.0,19.43643849173346,0.7681372549019607,0,3,26,60,0.0,0.05,0.43333333333333335
LNGN0381,terminal,total_degree,34.416666666666664,29.0,13.0,122.0,17.753769393670062,0.756283422459893,0,5,43,60,0.0,0.08333333333333333,0.7166666666666667
LNGN0381,terminal,total_route_exposure,37.266666666666666,32.5,15.0,122.0,18.39663442567935,0.7594028520499109,0,6,37,60,0.0,0.1,0.6166666666666667
LNGN0381,terminal,total_strength,45.6,43.0,20.0,122.0,17.959653463872094,0.7531639928698752,0,0,25,60,0.0,0.0,0.4166666666666667
LNGN0381,terminal,total_voyages,38.9,34.5,16.0,122.0,18.53873635830425,0.7598039215686274,0,4,36,60,0.0,0.06666666666666667,0.6
LNGN0382,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0382,terminal,eigenvector,82.83333333333333,93.5,1.0,127.0,35.244024215997996,0.31212121212121213,7,7,8,60,0.11666666666666667,0.11666666666666667,0.13333333333333333
LNGN0382,terminal,node_throughput,94.86666666666666,94.0,54.0,127.0,16.357724207325973,0.28796791443850267,0,0,0,60,0.0,0.0,0.0
LNGN0382,terminal,pagerank,92.85,94.0,48.0,127.0,19.64931965010148,0.2987522281639929,0,0,0,60,0.0,0.0,0.0
LNGN0382,terminal,share_monthly_network_flow,94.86666666666666,94.0,54.0,127.0,16.357724207325973,0.28796791443850267,0,0,0,60,0.0,0.0,0.0
LNGN0382,terminal,total_degree,92.78333333333333,94.0,45.0,127.0,19.800780387520135,0.28672014260249556,0,0,0,60,0.0,0.0,0.0
LNGN0382,terminal,total_route_exposure,93.53333333333333,94.0,52.0,127.0,18.340902392329856,0.28471479500891267,0,0,0,60,0.0,0.0,0.0
LNGN0382,terminal,total_strength,94.98333333333333,94.0,54.0,127.0,16.153387288861573,0.2873440285204991,0,0,0,60,0.0,0.0,0.0
LNGN0382,terminal,total_voyages,94.2,94.0,56.0,127.0,17.189669739780108,0.2829322638146168,0,0,0,60,0.0,0.0,0.0
LNGN0385,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0385,terminal,eigenvector,39.75,41.0,1.0,104.0,25.851351471080882,0.7211229946524064,10,16,28,60,0.16666666666666666,0.26666666666666666,0.4666666666666667
LNGN0385,terminal,node_throughput,33.05,25.0,8.0,104.0,22.06187370071818,0.814795008912656,5,21,41,60,0.08333333333333333,0.35,0.6833333333333333
LNGN0385,terminal,pagerank,36.03333333333333,32.0,6.0,104.0,20.060051089603782,0.799331550802139,4,11,35,60,0.06666666666666667,0.18333333333333332,0.5833333333333334
LNGN0385,terminal,share_monthly_network_flow,33.05,25.0,8.0,104.0,22.06187370071818,0.814795008912656,5,21,41,60,0.08333333333333333,0.35,0.6833333333333333
LNGN0385,terminal,total_degree,35.45,32.5,5.0,104.0,20.743326474322743,0.7462566844919786,4,15,36,60,0.06666666666666667,0.25,0.6
LNGN0385,terminal,total_route_exposure,43.25,40.0,13.0,104.0,19.242101615371205,0.71198752228164,0,5,28,60,0.0,0.08333333333333333,0.4666666666666667
LNGN0385,terminal,total_strength,36.96666666666667,30.5,13.0,104.0,20.281883597434607,0.7938948306595365,0,9,41,60,0.0,0.15,0.6833333333333333
LNGN0385,terminal,total_voyages,35.35,30.0,10.0,104.0,21.236221854276902,0.7793226381461675,2,15,40,60,0.03333333333333333,0.25,0.6666666666666666
LNGN0391,terminal,betweenness,21.533333333333335,22.0,18.0,24.0,1.1118265116871402,0.44777183600713016,0,2,60,60,0.0,0.03333333333333333,1.0
LNGN0391,terminal,eigenvector,79.05,92.5,1.0,127.0,36.72454727946086,0.32954545454545453,7,8,11,60,0.11666666666666667,0.13333333333333333,0.18333333333333332
LNGN0391,terminal,node_throughput,95.08333333333333,94.5,63.0,127.0,14.195119317194154,0.2746880570409982,0,0,0,60,0.0,0.0,0.0
LNGN0391,terminal,pagerank,94.01666666666667,94.0,58.0,127.0,15.002250302014492,0.28048128342245987,0,0,0,60,0.0,0.0,0.0
LNGN0391,terminal,share_monthly_network_flow,95.08333333333333,94.5,63.0,127.0,14.195119317194154,0.2746880570409982,0,0,0,60,0.0,0.0,0.0
LNGN0391,terminal,total_degree,93.21666666666667,94.0,45.0,127.0,16.631694947784435,0.27557932263814616,0,0,0,60,0.0,0.0,0.0
