period_month,metric_a,metric_b,spearman_correlation
2021-06-01,pagerank,share_monthly_network_flow,0.9110957356569106
2021-07-01,node_throughput,total_voyages,0.9892326323053142
2021-07-01,node_throughput,total_route_exposure,0.9848749266040023
2021-07-01,node_throughput,total_degree,0.9635391155974126
2021-07-01,node_throughput,betweenness,0.49804643422634115
2021-07-01,node_throughput,pagerank,0.9014430731652319
2021-07-01,node_throughput,share_monthly_network_flow,1.0
2021-07-01,total_voyages,total_route_exposure,0.9898364120210251
2021-07-01,total_voyages,total_degree,0.9687214873418941
2021-07-01,total_voyages,betweenness,0.49376529891083304
2021-07-01,total_voyages,pagerank,0.8965801192713384
2021-07-01,total_voyages,share_monthly_network_flow,0.9892326323053142
2021-07-01,total_route_exposure,total_degree,0.9784898735637425
2021-07-01,total_route_exposure,betweenness,0.5074851992510869
2021-07-01,total_route_exposure,pagerank,0.8981446267212683
2021-07-01,total_route_exposure,share_monthly_network_flow,0.9848749266040023
2021-07-01,total_degree,betweenness,0.5729667325964866
2021-07-01,total_degree,pagerank,0.9024495563016808
2021-07-01,total_degree,share_monthly_network_flow,0.9635391155974126
2021-07-01,betweenness,pagerank,0.5491802279646584
2021-07-01,betweenness,share_monthly_network_flow,0.4980464342263412
2021-07-01,pagerank,share_monthly_network_flow,0.9014430731652319
2021-08-01,node_throughput,total_voyages,0.9905595280031224
2021-08-01,node_throughput,total_route_exposure,0.9805039569154126
2021-08-01,node_throughput,total_degree,0.9643729843864761
2021-08-01,node_throughput,betweenness,0.5115293352549977
2021-08-01,node_throughput,pagerank,0.9128069297300463
2021-08-01,node_throughput,share_monthly_network_flow,0.9999999999999999
2021-08-01,total_voyages,total_route_exposure,0.9903043393790938
2021-08-01,total_voyages,total_degree,0.9749024321435735
2021-08-01,total_voyages,betweenness,0.5169207459396113
2021-08-01,total_voyages,pagerank,0.9043937683450993
2021-08-01,total_voyages,share_monthly_network_flow,0.9905595280031223
2021-08-01,total_route_exposure,total_degree,0.9837461339336231
2021-08-01,total_route_exposure,betweenness,0.5289400208561901
2021-08-01,total_route_exposure,pagerank,0.9092480327300406
2021-08-01,total_route_exposure,share_monthly_network_flow,0.9805039569154127
2021-08-01,total_degree,betweenness,0.5613978308681898
2021-08-01,total_degree,pagerank,0.921951595712759
2021-08-01,total_degree,share_monthly_network_flow,0.9643729843864761
2021-08-01,betweenness,pagerank,0.5671679039993122
2021-08-01,betweenness,share_monthly_network_flow,0.5115293352549977
2021-08-01,pagerank,share_monthly_network_flow,0.9128069297300464
2021-09-01,node_throughput,total_voyages,0.9895795859274469
2021-09-01,node_throughput,total_route_exposure,0.9826848045480256
2021-09-01,node_throughput,total_degree,0.9659134825488872
2021-09-01,node_throughput,betweenness,0.5100413177413079
2021-09-01,node_throughput,pagerank,0.9099736918884721
2021-09-01,node_throughput,share_monthly_network_flow,1.0
2021-09-01,total_voyages,total_route_exposure,0.9882841960578166
2021-09-01,total_voyages,total_degree,0.9732555974393456
2021-09-01,total_voyages,betweenness,0.5139274988834603
2021-09-01,total_voyages,pagerank,0.905836856040532
2021-09-01,total_voyages,share_monthly_network_flow,0.9895795859274468
2021-09-01,total_route_exposure,total_degree,0.9821726789358046
2021-09-01,total_route_exposure,betweenness,0.5311419609958898
