metric,previous_month,current_month,spearman_rank_persistence
counterparty_count,2022-12-01,2023-01-01,0.735649354471
counterparty_count,2023-01-01,2023-02-01,0.749975569977
counterparty_count,2023-02-01,2023-03-01,0.582915723098
counterparty_count,2023-03-01,2023-04-01,0.641637717307
counterparty_count,2023-04-01,2023-05-01,0.650868051829
counterparty_count,2023-05-01,2023-06-01,0.673061618216
counterparty_count,2023-06-01,2023-07-01,0.696795278419
counterparty_count,2023-07-01,2023-08-01,0.686265142325
counterparty_count,2023-08-01,2023-09-01,0.830609263349
counterparty_count,2023-09-01,2023-10-01,0.760595568724
counterparty_count,2023-10-01,2023-11-01,0.725052707588
counterparty_count,2023-11-01,2023-12-01,0.70141265978
counterparty_count,2023-12-01,2024-01-01,0.746498045374
counterparty_count,2024-01-01,2024-02-01,0.662557600174
counterparty_count,2024-02-01,2024-03-01,0.711942444967
counterparty_count,2024-03-01,2024-04-01,0.759994117608
counterparty_count,2024-04-01,2024-05-01,0.547671218206
counterparty_count,2024-05-01,2024-06-01,0.473877944309
counterparty_count,2024-06-01,2024-07-01,0.445686787268
counterparty_count,2024-07-01,2024-08-01,0.542950292445
counterparty_count,2024-08-01,2024-09-01,0.626035695824
counterparty_count,2024-09-01,2024-10-01,0.589898918866
counterparty_count,2024-10-01,2024-11-01,0.402362146746
counterparty_count,2024-11-01,2024-12-01,0.679207842768
counterparty_hhi_terminal,2020-01-01,2020-02-01,0.664858302025
counterparty_hhi_terminal,2020-02-01,2020-03-01,0.679454825313
counterparty_hhi_terminal,2020-03-01,2020-04-01,0.689484139045
counterparty_hhi_terminal,2020-04-01,2020-05-01,0.407841740747
counterparty_hhi_terminal,2020-05-01,2020-06-01,0.566463382619
counterparty_hhi_terminal,2020-06-01,2020-07-01,0.551515173944
counterparty_hhi_terminal,2020-07-01,2020-08-01,0.585516733493
counterparty_hhi_terminal,2020-08-01,2020-09-01,0.41149832626
counterparty_hhi_terminal,2020-09-01,2020-10-01,0.451650071201
counterparty_hhi_terminal,2020-10-01,2020-11-01,0.687173429753
counterparty_hhi_terminal,2020-11-01,2020-12-01,0.682469083086
counterparty_hhi_terminal,2020-12-01,2021-01-01,0.712667190243
counterparty_hhi_terminal,2021-01-01,2021-02-01,0.679289855477
counterparty_hhi_terminal,2021-02-01,2021-03-01,0.612878614177
counterparty_hhi_terminal,2021-03-01,2021-04-01,0.621306908945
counterparty_hhi_terminal,2021-04-01,2021-05-01,0.626868003428
counterparty_hhi_terminal,2021-05-01,2021-06-01,0.611418554358
counterparty_hhi_terminal,2021-06-01,2021-07-01,0.479973684629
counterparty_hhi_terminal,2021-07-01,2021-08-01,0.698513126566
counterparty_hhi_terminal,2021-08-01,2021-09-01,0.548612581906
counterparty_hhi_terminal,2021-09-01,2021-10-01,0.641935580885
counterparty_hhi_terminal,2021-10-01,2021-11-01,0.594146665538
counterparty_hhi_terminal,2021-11-01,2021-12-01,0.745213272362
counterparty_hhi_terminal,2021-12-01,2022-01-01,0.786814462334
counterparty_hhi_terminal,2022-01-01,2022-02-01,0.600146781508
counterparty_hhi_terminal,2022-02-01,2022-03-01,0.636837435384
counterparty_hhi_terminal,2022-03-01,2022-04-01,0.683333369701
counterparty_hhi_terminal,2022-04-01,2022-05-01,0.723008462661
counterparty_hhi_terminal,2022-05-01,2022-06-01,0.604374335717
counterparty_hhi_terminal,2022-06-01,2022-07-01,0.725773260772
counterparty_hhi_terminal,2022-07-01,2022-08-01,0.782317538845
counterparty_hhi_terminal,2022-08-01,2022-09-01,0.574683308962
counterparty_hhi_terminal,2022-09-01,2022-10-01,0.737868788232
counterparty_hhi_terminal,2022-10-01,2022-11-01,0.632480976184
counterparty_hhi_terminal,2022-11-01,2022-12-01,0.638835563447
counterparty_hhi_terminal,2022-12-01,2023-01-01,0.730690467512
counterparty_hhi_terminal,2023-01-01,2023-02-01,0.709406217771
counterparty_hhi_terminal,2023-02-01,2023-03-01,0.530460708649
