period_month,entity_level,role,entities,total_throughput
2024-05-01,country,net_exporter,10,23911945
2024-05-01,country,net_importer,29,24265945
2024-05-01,terminal,exporter,24,24579945
2024-05-01,terminal,importer,58,24579945
2024-05-01,terminal,inactive,77,0
2024-06-01,country,inactive,17,0
2024-06-01,country,net_exporter,12,18113160
2024-06-01,country,net_importer,27,18927160
2024-06-01,terminal,exporter,24,18831260
2024-06-01,terminal,importer,42,18831260
2024-06-01,terminal,inactive,93,0
2024-07-01,country,inactive,19,0
2024-07-01,country,net_exporter,11,20157634
2024-07-01,country,net_importer,26,20179634
2024-07-01,terminal,exporter,27,20891007
2024-07-01,terminal,importer,48,20891007
2024-07-01,terminal,inactive,84,0
2024-08-01,country,inactive,17,0
2024-08-01,country,net_exporter,10,17923305
2024-08-01,country,net_importer,29,19794485
2024-08-01,terminal,exporter,24,19815927
2024-08-01,terminal,importer,53,19815927
2024-08-01,terminal,inactive,82,0
2024-09-01,country,inactive,24,0
2024-09-01,country,net_exporter,8,17522219
2024-09-01,country,net_importer,24,18328219
2024-09-01,terminal,exporter,22,18591492
2024-09-01,terminal,importer,45,18591492
2024-09-01,terminal,inactive,92,0
2024-10-01,country,inactive,22,0
2024-10-01,country,net_exporter,10,17369803
2024-10-01,country,net_importer,24,18524003
2024-10-01,terminal,exporter,24,18973395
2024-10-01,terminal,importer,42,18973395
2024-10-01,terminal,inactive,93,0
2024-11-01,country,inactive,24,0
2024-11-01,country,net_exporter,10,11343982
2024-11-01,country,net_importer,22,11343982
2024-11-01,terminal,exporter,20,11479472
2024-11-01,terminal,importer,32,11479472
2024-11-01,terminal,inactive,107,0
2024-12-01,country,inactive,22,0
2024-12-01,country,net_exporter,10,13976992
2024-12-01,country,net_importer,24,13976992
2024-12-01,terminal,exporter,18,14334265
2024-12-01,terminal,importer,40,14334265
2024-12-01,terminal,inactive,101,0
